host_id,total_guests,raw_black,prop_black,any_black,past_guest_merge
1277605,41,1,.024390243,1,matched (3)
1279492,25,0,0,0,matched (3)
1280971,60,2,.033333335,1,matched (3)
1283043,150,0,0,0,matched (3)
1284497,,0,0,0,master only (1)
1288125,18,0,0,0,matched (3)
1290162,29,0,0,0,matched (3)
1294259,31,0,0,0,matched (3)
1294455,8,3,.375,1,matched (3)
1297604,,0,0,0,master only (1)
1297652,10,0,0,0,matched (3)
1298356,30,0,0,0,matched (3)
1298529,24,0,0,0,matched (3)
1299321,121,2,.016528925,1,matched (3)
1304475,418,1,.0023923444,1,matched (3)
1311961,214,0,0,0,matched (3)
1313522,213,3,.014084507,1,matched (3)
1313728,145,2,.013793103,1,matched (3)
1314278,4,0,0,0,matched (3)
1316463,,0,0,0,master only (1)
1316578,27,0,0,0,matched (3)
1317502,185,0,0,0,matched (3)
1317513,26,1,.03846154,1,matched (3)
1317618,,0,0,0,master only (1)
1317951,10,0,0,0,matched (3)
1318234,121,0,0,0,matched (3)
1319775,123,0,0,0,matched (3)
1320133,54,1,.018518519,1,matched (3)
1320246,20,0,0,0,matched (3)
1320411,32,1,.03125,1,matched (3)
1321453,,0,0,0,master only (1)
1323354,144,1,.0069444445,1,matched (3)
1323613,11,0,0,0,matched (3)
1324333,3,0,0,0,matched (3)
1326310,20,0,0,0,matched (3)
1327895,,0,0,0,master only (1)
1328986,76,4,.052631579,1,matched (3)
1333891,13,0,0,0,matched (3)
1334703,61,0,0,0,matched (3)
1334824,50,0,0,0,matched (3)
1346952,64,0,0,0,matched (3)
1347945,3,0,0,0,matched (3)
1362612,63,2,.031746034,1,matched (3)
1364457,72,0,0,0,matched (3)
1367539,34,0,0,0,matched (3)
1368428,50,0,0,0,matched (3)
1369442,51,0,0,0,matched (3)
1371445,59,0,0,0,matched (3)
1371867,73,0,0,0,matched (3)
1381289,361,0,0,0,matched (3)
1384474,45,0,0,0,matched (3)
1385341,24,1,.041666668,1,matched (3)
1386468,87,0,0,0,matched (3)
1386628,111,0,0,0,matched (3)
